分类	WarehouseCode	FactoryCode	库存行数	库存数量
A	512600	CN	35	.00
A	513111	TJ	18	28656.00
A	513210	TJ	130	-297323.00
A	513221	TJ	161	86291.00
A	513310	TJ	23	78583.00
A	513311	TJ	57	208250.00
A	513313	TJ	32	13914.00
A	513315	TJ	265	2581028.00
A	513316	TJ	8	395000.00
A	513319	TJ	32	173100.00
A	513322	TJ	30	43914.00
A	513323	TJ	27	8971.00
A	513412	TJ	43	29893.00
A	513511	TJ	119	3490540.00
A	513611	TJ	158	134443.50
A	513621	TJ	4	8.00
A	513622	TJ	18	9265.00
A	513710	TJ	21	11760.00
A	513711	TJ	53	193.00
A	513712	TJ	16	3251.00
A	513713	TJ	32	26714.00
A	513714	TJ	62	1149.00
A	520389	CN	1	.00
A	520399	CN	3	.00
A	540481	CN	2	.00
A	540482	CN	1	.00
A	540498	CN	43644	.00
A	540788	CN	1	.00
A	540799	CN	33636	.00
A	550199	CN	5	7088.15
A	960101	TJ	221	97625.00
A	960102	TJ	10010	12130398.00
A	960103	TJ	1446	412081.00
A	960104	TJ	4	.00
A	960105	TJ	1031	10108690.00
A	960112	TJ	23	5800.00
A	960113	TJ	1	.00
A	960122	TJ	3963	78658.00
A	960131	TJ	3068	560135.00
A	960132	TJ	15129	1002343.00
A	960133	TJ	369	309644.00
A	960134	TJ	7	43.00
A	960135	TJ	2764	14454479.00
A	960136	TJ	3	.00
A	960139	TJ	15	4535.00
A	960142	TJ	784	145902.00
A	960143	TJ	880	79419.20
A	960151	TJ	207	537015.10
A	960152	TJ	1711	7705084.00
A	960153	TJ	216	189957.00
A	960154	TJ	6	328070.50
A	960155	TJ	359	18601535.00
A	960156	TJ	13	.00
A	960159	TJ	16	475.16
A	960162	TJ	8	1212500.00
A	960163	TJ	10	19900.00
A	960165	TJ	15	2343701.00
A	960166	TJ	15	2077.00
A	960901	TJ	1180	.00
A	960902	TJ	165	.00
A	970108	SH	23602	899021.00
A	980101	CN	14929	1865958.00
A	980102	CN	25504	44958076.00
A	980103	CN	5671	57795082.00
A	980106	CN	1469	45174029.00
A	980108	CN	88503	2213204.00
A	980110	CN	12	.00
A	980111	CN	1189	.00
A	980112	CN	272	21823.00
A	980113	CN	5169	98488.00
A	980114	CN	16178	560723.00
A	980115	CN	2316	564829.00
A	980116	CN	18	7420.00
A	980117	CN	17234	1888376.00
A	980118	CN	79	92417.00
A	980119	CN	1251	14153258.00
A	980120	CN	12	3003000.00
A	980121	CN	7	3635600.00
A	980122	CN	3	89.00
A	980901	CN	7496	67.00
A	980902	CN	454	.00
A	990101	BJ	1588	145093.00
A	990102	BJ	10447	40569388.00
A	990103	BJ	2282	7821766.00
A	990104	BJ	3043	809863.00
A	990105	BJ	155	707283.00
A	990107	BJ	500	55920.00
A	990108	BJ	117	139410.00
A	990109	BJ	193	2256443.00
A	990110	BJ	1507	.00
A	990111	BJ	2493	.00
A	990112	BJ	23	.00
A	990113	BJ	88	14136.00
A	990114	BJ	606	79662.00
A	990115	BJ	26	.00
A	990116	BJ	48	.00
A	990117	BJ	345	10849.00
A	990118	BJ	29	47958.00
A	990119	BJ	1053	3358.00
A	990120	BJ	5	.00
A	990121	BJ	1	.00
A	990122	BJ	15	.00
A	990130	BJ	363	36606.00
A	990131	BJ	2	.00
A	990132	BJ	14	9.00
A	990133	BJ	45	18.00
A	990134	BJ	162	41871.00
A	990137	BJ	75	82863.00
A	990138	BJ	11	343.00
A	990139	BJ	23	42012.20
A	990150	BJ	254	345257.00
A	990151	BJ	35	1768145.00
A	990152	BJ	29	140340.00
A	990153	BJ	460	6732475.00
A	990154	BJ	1306	1298738.00
A	990155	BJ	2548	24475105.00
A	990156	BJ	558	98086.00
A	990157	BJ	57	1198658.00
A	990158	BJ	40	575098.00
A	990159	BJ	5788	440.60
A	990163	BJ	2	.00
A	990164	BJ	188	229028.00
A	990165	BJ	27	3045164.00
A	990166	BJ	35	6711.00
A	990200	BJ	1	.00
A	990425	CN	1	.00
A	990901	BJ	4798	.00
A	990902	BJ	439	1.00
B	000000	BJ	1	.00
B	000211	SH	29	7509.00
B	000212	SH	56	36630.00
B	001110	BJ	67	37310.00
B	001120	BJ	335	4.00
B	001121	BJ	82	33043.00
B	001124	BJ	33	16706.00
B	001129	BJ	18	419699.00
B	001130	BJ	60	47.00
B	001140	BJ	16	2037.00
B	001230	BJ	238	1241400.90
B	001232	BJ	3	.00
B	001260	BJ	195	951158.50
B	001270	BJ	102	27450.00
B	001290	BJ	38	27.00
B	001310	BJ	52	2643.00
B	001331	BJ	233	633800.20
B	001430	BJ	132	35485.00
B	001431	BJ	134	24787.00
B	001510	BJ	18	995.00
B	001520	BJ	57	-456.00
B	001521	BJ	32	5875.00
B	001530	BJ	43	5746.00
B	001539	BJ	560	2165663.00
B	001610	BJ	48	25934.00
B	001621	BJ	1	.00
B	001622	BJ	85	335872.00
B	001631	BJ	11	3445.00
B	001632	BJ	252	148200.00
B	001633	BJ	58	6082.00
B	001710	BJ	50	2421568.00
B	001711	BJ	150	10134.00
B	001722	BJ	13	1.00
B	001723	BJ	89	19049.00
B	001724	BJ	2891	25778.00
B	001799	BJ	10611	38258.00
B	001810	BJ	33	6.00
B	001811	BJ	47	55981.00
B	001812	BJ	10	8250.00
B	001813	BJ	14	37750.00
B	001899	BJ	181	417.00
B	002120	BJ	1	.00
B	002125	BJ	9	.00
B	002130	BJ	51	.00
B	002140	BJ	399	12360.52
B	002150	BJ	525	33667.00
B	002160	BJ	606	3473.70
B	002161	BJ	9674	66575.60
B	002162	BJ	418	39759.00
B	002163	BJ	94	.00
B	002164	BJ	85	33.00
B	002165	BJ	794	48217.00
B	002166	BJ	4	.00
B	002199	BJ	2932	4163.00
B	002500	BJ	214	42800.00
B	002525	BJ	4	.00
B	002700	BJ	2318	36.00
B	002810	BJ	82	300.00
B	002871	BJ	9	399870.00
B	002876	BJ	7	5136.00
B	003303	SH	124	32872362.00
B	003910	CN	392	65626258.00
B	005100	BJ	353	190842.00
B	006110	CN	949	.00
B	006111	CN	12	.00
B	006123	CN	22	.00
B	006210	CN	297	16198.00
B	006220	CN	124	8921.00
B	006230	CN	48	200.00
B	006232	CN	35	250.50
B	006233	CN	320	22955.00
B	006234	CN	2	.00
B	006240	CN	18	-4.00
B	006250	CN	67	11981.00
B	006310	CN	459	2877129.00
B	006320	CN	37	12.00
B	006330	CN	209	1836714.00
B	006339	CN	49	257617.00
B	006340	CN	83	100058.00
B	006390	CN	838	206270.00
B	006427	CN	12	.00
B	006500	CN	27	-200.00
